Product ID,Variant ID,Product Name,Product Description,Variant Name,Price,Variant SKU,Variant In Stock,Variant Full Stock,Shipping Notes,Tags,Status,Show In Marketplace,Retired On,Image 1,Image 2,Image 3,Image 4,Image 5
32135179,144166270,Hello Kitty Bride,"Hello Kitty and Dear Daniel are having a wedding! 💕💍

Hello Kitty is holding a shimmery rose bouquet and wears a white rose bow 🌹
Her dress is decorated with pearls - and she wears a tiny pearl necklace and tiara 👑✨  

Dear Daniel wears a sparkly tuxedo filled with holographic glitter - and he's wearing a tiny rose bow ✨🎀

Buy Hello Kitty on her own or get her in a set with Daniel (only one Daniel available) 💘

Glazed with UV resin for extra shine and protection ✨

You will receive your charm attached to a silver lobster clasp - please add in the  'note to seller' if you would like me to add a pink bow 😊

Please note:
♡ Although polymer clay is durable, please handle my charms with care (they aren't unbreakable!)
♡ Avoid placing the charm where it will knock against other items

",N/A,$60.00,,1,1,,"hello kitty,hello kitty and dear daniel,dear daniel,hello kitty wedding,wedding gifts,bride,bride gifts,bridesmaid,wedding,polymer clay charms,polymer clay hello kitty,hello kitty necklace,hello kitty jewelry,clay earrings,handmade charms,kawaii charms",active,TRUE,,//d111vui60acwyt.cloudfront.net/product_photos/89457859/file_b88dc153f4_original.jpg,//d111vui60acwyt.cloudfront.net/product_photos/89457883/file_f6b91c469f_original.jpg,//d111vui60acwyt.cloudfront.net/product_photos/89458696/file_65be3a083c_original.jpg,//dlp2gfjvaz867.cloudfront.net/product_photos/89458693/file_d7a8499f87_original.jpg,//dlp2gfjvaz867.cloudfront.net/product_photos/89457895/file_28d06b8a26_original.jpg
32135179,144166975,N/A,N/A,1,$30.00,,1,1,N/A,N/A,N/A,N/A,,,,,,
32135179,144167047,N/A,N/A,2,$30.00,,1,1,N/A,N/A,N/A,N/A,,,,,,
32135179,144167050,N/A,N/A,3,$30.00,,1,1,N/A,N/A,N/A,N/A,,,,,,
31707292,140173690,Hello Kitty Valentines charms,"Valentine's themed Hello Kitty charms! 🌹❤

Choose from Hello Kitty holding an ""xoxo"" balloon (approx. 1.9 cm tall), Hello Kitty holding a ""LOVE"" heart plushie (approx. 1.7 cm tall), or a chocolate box 🍫

Glazed with UV resin for extra shine and protection ✨

You will receive your charm attached to a gold lobster clasp 😊

Please note:
♡ Although polymer clay is durable, please handle my charms with care (they aren't unbreakable!)
♡ Avoid placing the charm where it will knock against other items
",N/A,$18.00,,1,1,,"sanrio clay charms,sanrio core,baby core,polymer clay cinna,sanrio polymer clay,cinnamoroll charms,cinnamoroll keychain,cute clay charms,kawaii planner accessories,cinnamoroll clay charm,sanrio accessories,kawaii clay charms,cinnamoroll aesthetic,cinna",active,TRUE,,//d2a2wjuuf1c30f.cloudfront.net/product_photos/87804928/file_781ba3dd65_original.jpg,//d3u67r7pp2lrq5.cloudfront.net/product_photos/87804955/file_605e4365cf_original.jpg,//dpegb9ebondhq.cloudfront.net/product_photos/87804925/file_8a66a7eac4_original.jpg,//d2a2wjuuf1c30f.cloudfront.net/product_photos/87804931/file_fd302e99fe_original.jpg,//d3u67r7pp2lrq5.cloudfront.net/product_photos/87804922/file_99a378e135_original.jpg
31707292,140173693,N/A,N/A,"""LOVE"" plush (right)",$18.00,,1,1,N/A,N/A,N/A,N/A,,,,,,
31707292,140173711,N/A,N/A,Chocolate box (middle),$6.00,,1,1,N/A,N/A,N/A,N/A,,,,,,
31707193,140172547,Hello Kitty Rose charms,"Tiny rose themed Hello Kitty charms! 🌹 Super dainty ❤

Choose from the three different designs 😊💖

Glazed with UV resin for extra shine and protection ✨

Left Hello Kitty: approx. 1.7 cm
Middle Hello Kitty: approx. 1.6 cm
Right Hello Kitty: approx. 1.8 cm

Please note:
♡ Although polymer clay is durable, please handle my charms with care (they aren't unbreakable!)
♡ Avoid placing the charm where it will knock against other items",N/A,$16.50,,1,1,,"sanrio clay charms,sanrio core,baby core,polymer clay cinna,sanrio polymer clay,cinnamoroll charms,cinnamoroll keychain,cute clay charms,kawaii planner accessories,cinnamoroll clay charm,sanrio accessories,kawaii clay charms,cinnamoroll aesthetic,cinna",active,TRUE,,//d2a2wjuuf1c30f.cloudfront.net/product_photos/87804721/file_466e4457d4_original.jpg,//dzasv7x7a867v.cloudfront.net/product_photos/87804742/file_4bb80209b8_original.jpg,//dpegb9ebondhq.cloudfront.net/product_photos/87804745/file_cf400132d3_original.jpg,//d310a9hpolx59w.cloudfront.net/product_photos/87804748/file_bfb7f4e18e_original.jpg,//dpegb9ebondhq.cloudfront.net/product_photos/87804751/file_c05e54ce57_original.jpg
31707193,140172550,N/A,N/A,Middle,$16.50,,0,1,N/A,N/A,N/A,N/A,,,,,,
31707193,140172553,N/A,N/A,Right,$16.50,,0,1,N/A,N/A,N/A,N/A,,,,,,
